id,marital,sex,earnmost,workstatus,owner,ind,size,employed,regular,occ,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,head,year,age
20202,2,2,0,1,2,8,5,5,6,6,1,4,88888,888888,1200,88888,99999,5,35,0,0,2005,30
20203,1,2,0,3,1,16,2,5,5,4,1,9,88888,888888,888888,88888,0,15,3,0,0,2005,32
20204,1,1,1,1,1,6,1,1,8,3,9,9,88888,888888,888888,88888,99999,99,999,999,1,2005,62
20205,2,1,1,1,1,16,1,3,8,4,1,9,88888,888888,888888,88888,0,25,84,0,1,2005,35
20206,1,1,1,1,2,8,5,5,1,6,3,1,300,888888,888888,88888,70,20,40,0,1,2005,58
20207,2,2,0,1,2,8,5,5,1,6,3,1,245,888888,888888,88888,57,20,50,8,0,2005,24
20208,1,2,0,1,1,16,1,3,8,4,5,9,88888,888888,888888,88888,0,25,60,999,0,2005,48
20209,2,1,0,1,1,6,1,3,8,3,9,9,88888,888888,888888,88888,99999,99,999,999,0,2005,22
20211,1,2,0,1,3,14,3,5,1,10,2,1,210,888888,888888,88888,80,20,42,1,0,2005,29
20212,1,1,1,1,2,5,3,5,1,6,1,1,330,888888,888888,88888,100,23,12,3,1,2005,43
20213,1,1,1,1,2,6,2,5,1,3,1,1,300,888888,888888,88888,0,25,72,10,1,2005,47
20214,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,35
20215,1,2,0,1,1,16,1,5,5,4,1,4,88888,888888,850,88888,0,22,30,0,0,2005,35
20216,1,1,1,1,2,9,1,6,8,3,1,5,88888,888888,888888,128,0,20,15,0,1,2005,58
20217,1,1,1,1,2,8,5,5,1,6,3,1,300,888888,888888,88888,60,20,50,15,1,2005,28
20218,1,1,1,1,2,4,2,5,1,10,1,1,283,888888,888888,88888,56,26,60,0,1,2005,55
20219,1,2,0,3,1,4,2,3,8,5,5,1,80,888888,888888,88888,0,5,4,0,0,2005,40
20220,1,1,1,1,1,4,2,1,8,8,5,9,88888,888888,888888,88888,99999,99,999,999,1,2005,64
20221,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,39
20222,1,1,1,1,2,5,5,5,2,5,2,5,88888,888888,888888,600,200,20,10,0,1,2005,56
20223,1,1,1,1,1,6,2,3,8,3,5,1,99999,888888,888888,88888,0,25,50,999,1,2005,48
20224,1,1,1,1,1,7,1,1,8,4,5,1,100,888888,888888,88888,0,25,72,999,1,2005,63
20226,2,1,0,1,1,5,1,3,8,8,1,1,200,888888,888888,88888,60,23,40,0,0,2005,39
20227,1,2,0,4,1,6,2,5,5,99,1,3,88888,6000,888888,88888,0,99,999,999,0,2005,40
20228,2,2,1,1,2,16,2,5,1,4,1,1,200,888888,888888,88888,0,21,42,2,1,2005,50
20229,2,2,1,3,1,6,1,4,8,3,5,1,80,888888,888888,88888,0,20,30,0,1,2005,63
20230,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,35
20231,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,54
20232,1,2,0,1,1,5,1,3,8,8,5,1,400,888888,888888,88888,0,23,42,0,0,2005,43
20233,1,2,0,1,2,8,5,5,5,6,2,4,88888,888888,999999,88888,0,20,5,0,0,2005,41
20235,2,2,0,1,2,6,5,5,5,3,2,4,88888,888888,940,88888,0,15,28,3,0,2005,24
20236,1,2,0,1,2,8,5,5,1,3,1,1,133,888888,888888,88888,20,6,48,0,0,2005,61
20238,2,1,1,1,1,4,9,6,8,8,1,3,88888,13000,888888,88888,0,25,48,0,1,2005,31
20239,2,2,0,1,2,11,5,5,6,6,2,4,88888,888888,999999,88888,0,15,24,0,0,2005,34
20240,1,1,1,1,3,99,1,5,2,10,5,1,125,888888,888888,88888,0,20,25,0,1,2005,68
20241,1,1,1,1,2,11,5,5,1,9,1,1,600,888888,888888,88888,330,20,65,30,1,2005,39
20242,2,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,70
20243,1,2,0,1,2,16,2,5,1,99,1,1,170,888888,888888,88888,0,20,40,0,0,2005,50
20245,2,1,1,1,2,9,5,5,4,4,1,1,210,888888,888888,88888,31,26,42,2,1,2005,55
20246,2,1,0,1,2,6,5,5,4,8,2,1,170,888888,888888,88888,3,22,40,999,0,2005,23
20247,1,1,1,1,2,16,2,5,1,10,1,1,300,888888,888888,88888,60,24,60,15,1,2005,37
20248,2,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,67
20249,1,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,42
20250,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,39
20251,1,2,0,1,2,12,5,5,6,6,2,4,88888,888888,1530,88888,0,20,50,13,0,2005,31
20252,1,1,1,1,1,7,1,1,8,4,5,9,88888,888888,888888,88888,0,24,54,0,1,2005,70
20253,2,2,1,1,2,5,5,5,6,8,2,4,88888,888888,1600,88888,0,20,41,2,1,2005,38
20254,2,2,0,1,3,15,3,5,1,10,9,1,186,888888,888888,88888,40,23,53,10,0,2005,22
20255,1,2,0,3,2,5,4,5,5,8,1,4,88888,888888,860,88888,0,17,16,0,0,2005,49
20256,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,62
20257,2,2,0,3,1,7,2,5,5,4,1,4,88888,888888,850,88888,25,20,16,0,0,2005,24
20258,1,2,0,3,3,15,3,5,4,10,4,4,88888,888888,2800,88888,60,5,14,0,0,2005,36
20260,1,1,1,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,38
20261,1,1,1,1,2,16,4,5,1,6,1,1,270,888888,888888,88888,90,20,45,0,1,2005,27
20262,1,2,0,3,2,8,2,5,5,6,1,1,35,888888,888888,88888,20,15,12,0,0,2005,48
20263,1,1,1,1,4,15,6,5,2,10,2,1,400,888888,888888,88888,200,22,50,0,1,2005,38
20267,1,2,0,3,2,6,4,5,5,3,2,4,88888,888888,1100,88888,0,12,8,0,0,2005,50
20268,1,2,0,3,1,7,1,5,9,4,1,4,88888,888888,900,88888,0,24,15,0,0,2005,45
20269,1,1,1,1,4,17,6,5,1,6,3,1,285,888888,888888,88888,90,20,48,0,1,2005,55
20270,1,1,0,1,1,4,2,1,8,8,1,9,88888,888888,888888,88888,0,99,999,999,0,2005,48
20271,1,1,1,1,1,6,1,1,8,3,5,1,360,888888,888888,88888,0,20,60,0,1,2005,57
20272,1,2,0,1,2,14,5,5,5,10,3,4,88888,888888,930,88888,0,22,48,0,0,2005,26
20273,1,1,1,1,2,4,1,5,1,8,1,1,230,888888,888888,88888,50,25,54,0,1,2005,35
20274,2,2,1,3,1,18,1,5,5,12,1,1,40,888888,888888,88888,0,20,12,0,1,2005,54
20275,1,1,1,1,3,14,4,5,1,4,3,1,250,888888,888888,88888,70,22,40,4,1,2005,39
20276,1,1,1,1,2,5,3,5,1,99,1,1,327,888888,888888,88888,16,20,65,20,1,2005,35
20277,1,2,0,3,2,8,4,5,5,6,2,3,88888,4500,888888,88888,0,18,25,0,0,2005,48
20278,1,1,1,1,2,6,5,5,2,3,3,1,350,888888,888888,88888,100,24,72,18,1,2005,34
20279,2,2,1,2,2,7,5,5,5,4,2,4,88888,888888,900,88888,0,8,13,0,1,2005,22
20280,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,35
20283,1,1,1,1,2,8,5,5,1,6,3,5,88888,888888,888888,900,0,20,45,10,1,2005,44
20284,2,1,1,1,4,17,6,5,2,5,2,1,500,888888,888888,88888,150,20,40,0,1,2005,36
20285,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,38
20286,2,2,1,1,2,8,5,5,6,6,2,4,88888,888888,1430,88888,30,20,39,1,1,2005,39
20287,1,1,1,1,1,4,2,5,2,8,3,1,420,888888,888888,88888,90,25,48,999,1,2005,39
20288,1,1,1,1,2,5,2,5,3,3,1,5,88888,888888,888888,600,0,5,40,999,1,2005,54
20290,1,1,1,1,2,8,5,5,1,11,2,1,760,888888,888888,88888,100,20,60,999,1,2005,51
20291,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,53
20293,1,1,1,1,2,16,5,5,2,11,3,1,400,888888,888888,88888,76,27,54,6,1,2005,52
