id,marital,sex,head,earnmost,edbg,workstatus,occ,owner,ind,size,employed,regular,empsinceyear,empsincemonth,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
2213,1,1,1,1,1,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,71
2214,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,28
2215,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,42
2216,1,2,0,0,1,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,72
2217,1,1,1,1,4,1,7,2,11,4,5,2,1999,1,1,1,805,888888,888888,88888,200,20,60,25,2009,37
2218,1,1,1,1,5,1,5,2,5,5,5,2,1987,4,2,1,700,888888,888888,88888,500,22,45,6,2009,46
2219,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
2220,1,2,0,0,4,1,9,2,11,5,5,1,2001,4,3,1,400,888888,888888,88888,215,20,60,15,2009,30
2221,1,2,0,0,2,3,4,2,7,9,5,5,1995,6,5,4,88888,888888,890,88888,0,7,18,0,2009,60
2222,1,1,1,1,4,1,10,4,17,6,5,1,2001,4,3,1,290,888888,888888,88888,130,22,40,5,2009,35
2223,1,1,1,1,4,1,6,2,8,5,5,2,1983,4,1,1,500,888888,888888,88888,300,21,60,20,2009,51
2224,1,1,1,1,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,71
2225,1,2,0,0,2,3,3,2,6,4,5,5,2008,9,3,1,60,888888,888888,88888,0,15,16,0,2009,29
2226,1,2,0,0,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,58
2227,1,1,1,1,5,1,10,2,11,5,5,1,2001,4,3,1,422,888888,888888,88888,130,22,65,999,2009,32
2228,1,2,0,0,3,3,10,3,14,4,5,1,1995,4,1,9,88888,888888,888888,88888,99999,20,45,5,2009,34
2229,1,2,0,0,4,3,4,1,9,1,3,8,2005,1,1,3,88888,10000,888888,88888,0,8,12,0,2009,50
2230,1,1,1,1,2,1,8,1,4,2,5,1,2003,4,3,1,300,888888,888888,88888,99999,20,48,0,2009,24
2231,1,1,1,1,6,1,4,1,7,2,5,5,2002,2,1,4,88888,888888,950,88888,0,20,27,0,2009,67
2232,1,2,0,0,4,3,3,2,6,5,5,5,2008,8,1,4,88888,888888,1000,88888,0,10,15,0,2009,34
2233,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,44
2234,1,1,1,1,4,1,3,1,9,1,1,8,1981,99,1,1,450,888888,888888,88888,40,15,15,999,2009,61
2235,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,28
2236,1,2,0,0,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,36
